manifold,repeat,n,n_scaffold,n_contraction,sigma,gp_method,gp_amplitude,gp_rho,gp_length_scale_equivalent,gp_noise_sd,eb_success,eb_status,eb_iterations,eb_objective,eb_message,eb_at_bound,scaffold_hausdorff,average_hausdorff,gp_hausdorff,gp_better_than_average,scaffold_directed_error,average_directed_error,gp_directed_error,mean_direction_signal,min_direction_signal,median_cylinder_size,min_cylinder_size,ball_fallback_count,ball_fallback_fraction,cylinder_fallback_count,cylinder_fallback_fraction,mean_posterior_sd,mean_frequentist_sd,mean_posterior_to_frequentist_sd,max_posterior_to_frequentist_sd,posterior_band_covers_truth,frequentist_band_covers_truth,posterior_max_halfwidth,posterior_max_width_over_noise,posterior_width_below_noise,posterior_band_inside_noise,max_posterior_boundary_distance,mean_average_local_error,mean_gp_local_error,high_curvature_average_error,high_curvature_gp_error,high_curvature_gp_improvement,scaffold_center_x,scaffold_center_y,scaffold_min_radius,scaffold_max_radius
circle,12,3000,1500,1500,0.06,paper-eb,0.0047243801854710285,0.1449588962219655,0.26922007375190793,0.06100455442354854,True,0,14,-6264.916161010139,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.01168534931127458,0.028082983984806173,0.02809943892820887,0,0.01168534931127458,0.028081018443178375,0.02809943892820887,0.05735876874558362,0.04330515130564574,47.0,33,0,0.0,0,0.0,0.009369370077644079,0.009075376924205947,1.0323868420334628,1.0445185475399292,1,1,0.0361077368895029,0.30703857899237164,1,1,0.05757119131787041,0.007796435546034598,0.00796005327596221,0.007740207451671234,0.007854922587918488,-0.00011471513624725389,-0.027918049953261127,0.001681093490962254,0.9674542017260006,1.0336737837702887
circle,13,3000,1500,1500,0.06,paper-eb,0.0056487866308284704,0.19201302929747605,0.30984918048743976,0.061556660783908035,True,0,11,-6402.848129424598,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.015015034180809331,0.02923566530020963,0.022149773816113542,1,0.015015034180809331,0.02923566530020963,0.022149773816113542,0.06055035590883753,0.04862538245022507,47.5,28,0,0.0,0,0.0,0.00928944814100991,0.009057302512536324,1.0255636736009148,1.0459410284261315,1,1,0.04144731181865636,0.3524431277096629,1,1,0.056762174538920476,0.009447865788559193,0.008733717686611193,0.009347044776772557,0.008632519734692864,0.0007145250420796945,0.0007455746809372493,-0.004225892703286625,0.990710661711939,1.0179848585587048
circle,14,3000,1500,1500,0.06,paper-eb,0.004615463936907713,0.36072020424700535,0.42468824109398495,0.06068520210084488,True,0,12,-6190.277838394105,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.012009902671061924,0.022430666831675872,0.022428563531471792,1,0.012009902671061924,0.022430666831675872,0.022428563531471792,0.05725506231540471,0.038415379473665884,47.0,31,0,0.0,0,0.0,0.00910486663192281,0.00896961001947519,1.0149810043440217,1.0275739532457795,1,1,0.03658089904827484,0.31106206673703096,1,1,0.05875830033253826,0.009209229910090646,0.008863364093107735,0.00887971968565768,0.008555319898883475,0.00032439978677420667,-0.0021901679068186157,0.002091606230013073,0.9868255680224123,1.0130944978835754
circle,15,3000,1500,1500,0.06,paper-eb,0.005256637478991428,0.2720795319564901,0.36883568967528757,0.0598739443542147,True,0,9,-6342.24418786618,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.016370907588258845,0.023197180605757633,0.020877809484872226,1,0.016370907588258845,0.023197180605757633,0.020877809484872226,0.061185633784389855,0.04125267997782012,46.0,30,0,0.0,0,0.0,0.0089881103792556,0.00883318472323738,1.0174945224619627,1.0307836105647203,1,1,0.03685142820078994,0.31336248470059475,1,1,0.05266623708349003,0.008244161980694234,0.007701410965302675,0.008346553012454972,0.007810355012119567,0.0005361980003354031,-0.020193059639977064,-0.012597808455165409,0.9788811333476466,1.0310438076333097
circle,16,3000,1500,1500,0.06,paper-eb,0.004394042604485497,0.2611042684434934,0.361319988682811,0.06146618525274961,True,0,13,-6278.4226917511705,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.017557232215932195,0.020114926060315615,0.02173559602390221,0,0.017557232215932195,0.02010115346308513,0.021726343149129915,0.05464562548138127,0.034971442058981374,46.0,33,0,0.0,0,0.0,0.009174327053530983,0.009006547264743082,1.0185842938658907,1.0286737946634084,1,1,0.0358897178311151,0.3051846754346522,1,1,0.05222772570620071,0.007257646272864454,0.00697607267408867,0.00730306403485741,0.007025807798061834,0.0002772562367955762,0.01329390341526742,0.014780755381929182,0.9781237189751849,1.0372053844328908
circle,17,3000,1500,1500,0.06,paper-eb,0.004686460978468428,0.24593769076544458,0.3506691394786862,0.06167370805348059,True,0,15,-6152.23562898768,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.012942713684251587,0.029037300184417258,0.02697444853440358,1,0.012942713684251587,0.029037300184417258,0.026974288137897207,0.05694777960190649,0.040931271391579115,46.0,34,0,0.0,0,0.0,0.009286073884254889,0.009112712095268101,1.018933303173961,1.0293165744521056,1,1,0.03573324278308134,0.30385410529831075,1,1,0.05836413759396964,0.008353406858682492,0.008170054123797465,0.008126114729654351,0.00795053227932067,0.00017558245033367966,-0.010714342133741605,0.0026518481683601887,0.984364607692951,1.023893771559808
circle,18,3000,1500,1500,0.06,paper-eb,0.005046462813626744,0.2629967123204022,0.36262702072542957,0.06053980006074246,True,0,12,-6345.181218538849,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.01013998868536597,0.02196273627207897,0.022642932059397977,0,0.01013998868536597,0.021956565308200383,0.02264247284256053,0.05963316291509691,0.04502384200464985,47.0,30,0,0.0,0,0.0,0.009052316073189622,0.008883608937750071,1.0188590109210365,1.0399446343240426,1,1,0.03789934318292189,0.3222733263853902,1,1,0.05362648454815944,0.009191138868644517,0.00873604675294799,0.009415359898219167,0.008923041578049445,0.0004923183201697233,-0.013498137236314073,-0.006085179282543297,0.9866921851939083,1.0174982599176803
circle,19,3000,1500,1500,0.06,paper-eb,0.005115123986602988,0.23053917754386055,0.3395137534356013,0.06188441738568143,True,0,13,-6282.957288486743,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.01374259403340028,0.03086381217154131,0.026955291843307992,1,0.01374259403340028,0.03086381217154131,0.026955291843307992,0.05878083974327441,0.04246604777213953,47.5,35,0,0.0,0,0.0,0.009291199636597327,0.009093981223832358,1.0215671970348577,1.0449027091994176,1,1,0.0356596942447008,0.3032286925569796,1,1,0.056793227814722805,0.007329830837251258,0.007098388253155331,0.007485087888954387,0.007175500737026907,0.0003095871519274797,0.020498026939957642,0.006220664712075231,0.9789499610966778,1.0253570794074884
ellipse,0,3000,1500,1500,0.06,paper-eb,0.006180423934072136,0.4183888226413871,0.4573777556032798,0.06134781216505635,True,0,10,-5581.515759632797,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.03472300953855157,0.025730100742610833,0.025019796626902346,1,0.03472300953855157,0.025726182562486103,0.02500974199885863,0.06386392744389996,0.032306978132722014,41.0,29,0,0.0,0,0.0,0.009648389946618402,0.009515477296470641,1.013925556809436,1.0348624352880615,1,1,0.03804466429530529,0.3235090501301471,1,1,0.057479976912072774,0.009860485269884629,0.009297363172411865,0.012977969594388454,0.012184242559923678,0.0007937270344647756,0.03164386747748886,0.03476142717840031,0.7849131435180754,1.4031079292355488
ellipse,1,3000,1500,1500,0.06,paper-eb,0.005682130555603048,0.21575802598897148,0.3284494070545504,0.060148940824654815,True,0,9,-5701.088293528351,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,False,0.04016493587490501,0.029809545577387783,0.02870707109770323,1,0.04016493587490501,0.029809545577387783,0.02870707109770323,0.06040054603628971,0.03581472325037828,42.5,28,0,0.0,0,0.0,0.009596862701808196,0.009386967134260581,1.0223300051988278,1.0378836431794558,1,1,0.03862201348911391,0.3284184820502884,1,1,0.06658680558791136,0.010105363074373269,0.009443228219855632,0.011721805784570495,0.010272194487444292,0.0014496112971262077,-0.0036975034999372964,0.0024845667195910652,0.7953376777662222,1.3646702898692085
