repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
17,0.12,102,0.16224596892551646,0.11370761532368064,0.10126577023568518,3,9.0,8,19.0
18,0.0,102,2.2466049316084915e-05,0.005258646212126376,0.0043969522808124835,3,10.0,7,22.0
18,0.01,102,0.014702137827193635,0.007789644763557886,0.007425715723592629,3,10.0,7,22.0
18,0.02,102,0.029340577887780755,0.013458226027314703,0.01325578418663002,4,11.0,7,21.0
18,0.04,102,0.058409343223282915,0.027664078659556588,0.025441787237814206,4,11.0,7,21.0
18,0.06,102,0.08718822072993553,0.050723332802069275,0.04412449265687036,3,11.0,6,22.0
18,0.08,102,0.11565387045599476,0.07708267457377777,0.06842801539566926,3,10.0,6,21.5
18,0.12,102,0.17165816955921856,0.11861866918413913,0.10478058781780168,2,10.0,4,21.0
19,0.0,102,2.0897315138489265e-05,0.005231856065752784,0.004587240886375638,3,10.0,6,21.0
19,0.01,102,0.013283457764047947,0.007294093274398375,0.006870119556238999,3,9.5,6,21.0
19,0.02,102,0.02657213015892038,0.011782499062346592,0.011481302205326565,3,10.0,6,21.0
19,0.04,102,0.05316163389635883,0.025689008485894706,0.023162705587417592,3,10.0,6,21.0
19,0.06,102,0.07974885816104291,0.04792160800552245,0.03844622634180502,2,9.0,8,20.0
19,0.08,102,0.1062916646734355,0.07919014805244588,0.06204444297916691,2,9.0,6,20.0
19,0.12,102,0.15876322301686271,0.11424341859384092,0.09356240448395513,2,9.0,5,19.0
