geometry,repeat,nominal_level,method,covered,mean_halfwidth,max_halfwidth,mean_width_over_sigma,max_width_over_sigma,strict_inside_noise,extra_radius_required,mean_empirical_sampling_variance,mean_noise_only_variance,mean_pre_smoothing_empirical_contraction_variance,mean_pre_smoothing_noise_only_variance
circle,4,0.95,sampling_only,1,0.0288928231313257,0.03903646045706931,0.48154705218876165,0.6506076742844885,1,0.0,4.545139660933803e-05,3.4116151758970696e-05,5.3417070232328945e-05,3.9948608367766494e-05
circle,4,0.95,sampling_plus_direction_additive,1,0.03871692365512224,0.07373265543408722,0.6452820609187041,1.2288775905681204,1,0.0,4.545139660933803e-05,3.4116151758970696e-05,5.3417070232328945e-05,3.9948608367766494e-05
circle,4,0.95,sampling_plus_direction_rss,1,0.03061483992971214,0.05225721305436271,0.510247332161869,0.8709535509060452,1,0.0,4.545139660933803e-05,3.4116151758970696e-05,5.3417070232328945e-05,3.9948608367766494e-05
circle,4,0.99,sampling_only,1,0.031199388205457847,0.04215281000514773,0.5199898034242975,0.7025468334191288,1,0.0,4.545139660933803e-05,3.4116151758970696e-05,5.3417070232328945e-05,3.9948608367766494e-05
circle,4,0.99,sampling_plus_direction_additive,1,0.04180776401623333,0.07961886347524245,0.6967960669372222,1.3269810579207075,1,0.0,4.545139660933803e-05,3.4116151758970696e-05,5.3417070232328945e-05,3.9948608367766494e-05
circle,4,0.99,sampling_plus_direction_rss,1,0.03305887664467957,0.056428998620446466,0.5509812774113262,0.9404833103407745,1,0.0,4.545139660933803e-05,3.4116151758970696e-05,5.3417070232328945e-05,3.9948608367766494e-05
circle,5,0.8,sampling_only,1,0.026379520911634445,0.037595701896163194,0.4396586818605741,0.6265950316027199,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.8,sampling_plus_direction_additive,1,0.03528537894318521,0.058177922421186856,0.5880896490530868,0.9696320403531143,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.8,sampling_plus_direction_rss,1,0.027927445332618723,0.0411380231797514,0.46545742221031206,0.6856337196625233,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.9,sampling_only,1,0.027448036711511803,0.03911853476405702,0.45746727852519675,0.6519755794009504,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.9,sampling_plus_direction_additive,1,0.0367146310145837,0.060534448512745274,0.6119105169097283,1.0089074752124212,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.9,sampling_plus_direction_rss,1,0.029058660591913036,0.042804339557919534,0.4843110098652173,0.713405659298659,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.95,sampling_only,1,0.028480053688312437,0.04058935005071616,0.47466756147187394,0.676489167511936,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.95,sampling_plus_direction_additive,1,0.038095062077914736,0.06281047937072703,0.6349177012985789,1.0468413228454507,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.95,sampling_plus_direction_rss,1,0.03015123531298095,0.044413737183287214,0.5025205885496825,0.7402289530547869,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.99,sampling_only,1,0.030753666649160405,0.043829669516320766,0.5125611108193401,0.7304944919386794,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.99,sampling_plus_direction_additive,1,0.041136258131565386,0.06782475081618301,0.6856043021927565,1.1304125136030503,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
circle,5,0.99,sampling_plus_direction_rss,1,0.03255826165300862,0.047959364224750854,0.5426376942168103,0.7993227370791809,1,0.0,4.420066763264667e-05,3.4421471512726346e-05,5.1018464248652716e-05,4.008652522695261e-05
